stage,seed,method,pilot_ratio,snr_db,epoch,train_loss,val_nmse,learning_rate
stage3a_larger_training,123,Enhanced-DnCNN,0.1250,10,9,0.43522617,0.86542793,0.00010000
stage3a_larger_training,123,Enhanced-DnCNN,0.1250,10,10,0.43488353,0.86506921,0.00010000
stage3a_larger_training,123,PICASSO-rec,0.1250,10,1,0.51868097,0.88143378,0.00010000
stage3a_larger_training,123,PICASSO-rec,0.1250,10,2,0.51434927,0.87268266,0.00010000
stage3a_larger_training,123,PICASSO-rec,0.1250,10,3,0.51207353,0.86734965,0.00010000
stage3a_larger_training,123,PICASSO-rec,0.1250,10,4,0.51088032,0.86536390,0.00010000
stage3a_larger_training,123,PICASSO-rec,0.1250,10,5,0.51045999,0.86434928,0.00010000
stage3a_larger_training,123,PICASSO-rec,0.1250,10,6,0.51022295,0.86402261,0.00010000
stage3a_larger_training,123,PICASSO-rec,0.1250,10,7,0.51007616,0.86365379,0.00010000
stage3a_larger_training,123,PICASSO-rec,0.1250,10,8,0.50996046,0.86350387,0.00010000
stage3a_larger_training,123,PICASSO-rec,0.1250,10,9,0.50987549,0.86332461,0.00010000
stage3a_larger_training,123,PICASSO-rec,0.1250,10,10,0.50975480,0.86315320,0.00010000
stage3a_larger_training,123,PICASSO-rec-physics,0.1250,10,1,0.52572716,0.87792496,0.00010000
stage3a_larger_training,123,PICASSO-rec-physics,0.1250,10,2,0.52104696,0.86930117,0.00010000
stage3a_larger_training,123,PICASSO-rec-physics,0.1250,10,3,0.51902226,0.86580771,0.00010000
stage3a_larger_training,123,PICASSO-rec-physics,0.1250,10,4,0.51836884,0.86436239,0.00010000
stage3a_larger_training,123,PICASSO-rec-physics,0.1250,10,5,0.51805509,0.86370243,0.00010000
stage3a_larger_training,123,PICASSO-rec-physics,0.1250,10,6,0.51787012,0.86350732,0.00010000
stage3a_larger_training,123,PICASSO-rec-physics,0.1250,10,7,0.51773813,0.86307344,0.00010000
stage3a_larger_training,123,PICASSO-rec-physics,0.1250,10,8,0.51759868,0.86290370,0.00010000
